Type,Title,Description,Days,Time,Color
class,"CIS 2123 - Network","Dr. Carlson","Thursday","18:00-21:00",blue
class,"MGMT 3203 - Intro","Dr. Rudebock","Monday, Wednesday, Friday","9:00-9:50",blue
class,"Chapel","OBU","Wednesday","10:00-10:50",blue
class,"Math 1173 - Trig","Dr. Crouch","Tuesday, Thursday","16:30-17:45",blue
class,"MATH 2003 - Stats","Dr. Drake","Tuesday, Thursday","12:30-13:45",blue
work,WORK,"SSC","Monday","18:00-19:00",green
work,WORK,"SSC","Tuesday","18:00-19:00",green
work,WORK,"SSC","Wednesday","18:00-19:00",green
work,WORK,"SSC","Sunday","18:00-19:00",green
work,WORK,"Tinker AFB","Monday","11:00-17:30",green
work,WORK,"Tinker AFB","Friday","11:00-17:30",green
work,WORK,"Tinker AFB","Wednesday","13:00-17:30",green
work,WORK,"Tinker AFB","Tuesday","7:30-11:30",green
work,WORK,"Tinker AFB","Thursday","7:30-11:30",green
